species,rank,risk_group,bsl_level,source,note
Staphylococcus aureus,species,2,2,EU 2000/54/EC + TRBA 466,major pyogenic/toxin pathogen (incl. MRSA); RG2
Staphylococcus epidermidis,species,2,2,TRBA 466,CoNS; device/prosthetic infections; RG2
Staphylococcus capitis,species,2,2,PHAC + Belgium (LPSN),CoNS; PHAC and Belgium RG2 (older TRBA-2002 RG1); conservative RG2
Staphylococcus haemolyticus,species,2,2,TRBA 466,CoNS; multiresistant opportunist; RG2
Staphylococcus hominis,species,2,2,TRBA 466,CoNS; RG2
Corynebacterium durum,species,1,1,TRBA 466,oral/respiratory commensal; RG1(+)
Corynebacterium argentoratense,species,2,2,TRBA 466,throat; RG2
Lacticaseibacillus paracasei,species,1,1,TRBA 466,probiotic; RG1
Lacticaseibacillus rhamnosus,species,2,2,TRBA 466,RG2(TA) in TRBA; RG1 in PHAC/Swiss and for established probiotic strains (e.g. GG); conservative RG2
Limosilactobacillus fermentum,species,1,1,TRBA 466,LAB/probiotic; RG1
Lactiplantibacillus plantarum,species,1,1,TRBA 466,RG1(+); QPS probiotic (TRBA lists as Lactobacillus plantarum)
Latilactobacillus curvatus,species,1,1,TRBA 466,food-fermentation LAB; RG1
Enterococcus faecalis,species,2,2,TRBA 466,"opportunist (UTI, endocarditis, VRE); RG2"
Enterococcus lactis,species,1,1,TRBA 466/DSMZ + PHAC,DE and CA both RG1 (split from E. faecium; probiotic-safe lineage)
Granulicatella adiacens,species,2,2,TRBA 466,nutritionally variant strep; endocarditis; RG2
Weissella cibaria,species,1,1,TRBA 466/DSMZ,food LAB; Germany RG1
Micrococcus luteus,species,1,1,TRBA 466,skin saprophyte; RG1
Kocuria marina,species,1,1,TRBA 466/DSMZ,RG1 (rare opportunist case reports)
Kocuria rhizophila,species,1,1,TRBA 466,environmental; RG1
Acinetobacter ursingii,species,2,2,TRBA 466,opportunist bacteremia; RG2
Acinetobacter bereziniae,species,2,2,TRBA 466/DSMZ,"Germany RG2, PHAC RG1; conservative RG2"
Moraxella catarrhalis,species,2,2,TRBA 466,"respiratory pathogen (otitis, bronchitis); RG2"
Bacillus anthracis,species,3,3,EU 2000/54/EC + TRBA 466 + US Select Agent,ANTHRAX; RG3/BSL-3; Tier-1 Select Agent; CRITICAL
Bacillus cereus,species,2,2,TRBA 466,emetic/diarrheal enterotoxins; RG2
Bacillus licheniformis,species,1,1,TRBA 466,industrial; RG1(+); rare opportunist
Bacillus paranthracis,species,2,2,ABSA/ATCC + B. cereus group,"B. cereus-group (enterotoxigenic), genomically near B. anthracis; one ATCC strain listed BSL-3; RG2, FLAG/verify strain + toxin genes"
Bacillus velezensis,species,1,1,TRBA 466/DSMZ,DE/CA/CH all RG1; B. subtilis group biocontrol
Brevibacillus agri,species,1,1,TRBA 466,RG1(+)
Paenibacillus lactis,species,1,1,LPSN/DSMZ,RG1
Paenibacillus cookii,species,1,1,LPSN/DSMZ,RG1
Priestia megaterium,species,1,1,TRBA 466,=Bacillus megaterium; RG1(+); industrial
Lysinibacillus sphaericus,species,1,1,TRBA 466,=Bacillus sphaericus; RG1(+); mosquito biocontrol
Bordetella pertussis,species,2,2,EU 2000/54/EC + TRBA 466,whooping cough; RG2
Serratia liquefaciens,species,2,2,TRBA 466/DSMZ + PHAC,DE and CA both RG2; opportunist/transfusion sepsis
Enterobacter hormaechei,species,2,2,TRBA 466,nosocomial opportunist (cloacae complex); RG2
Klebsiella grimontii,species,2,2,TRBA 466/DSMZ,Germany RG2; K. oxytoca complex
Leclercia adecarboxylata,species,2,2,TRBA 466,opportunist; TRBA RG2 (some sources RG1); conservative RG2
Ralstonia pickettii,species,1,1,TRBA 466,RG1(+); waterborne opportunist/contaminant
Chryseobacterium arthrosphaerae,species,1,1,TRBA 466/DSMZ,Germany RG1 (rare opportunist)
Chryseobacterium indologenes,species,2,2,TRBA 466,opportunist; RG2
Microbacterium oxydans,species,1,1,TRBA 466,environmental; RG1
Arthrobacter woluwensis,species,2,2,TRBA 466,rare endocarditis; RG2
Sphingomonas olei,species,1,1,TRBA 466/DSMZ,Germany RG1; environmental
Tsukamurella pulmonis,species,2,2,TRBA 466,opportunist (catheter/pulmonary); RG2
Pseudomonas juntendi,species,1,1,not listed as RG2+ in TRBA/PHAC -> RG1,"P. putida group; LPSN LoRN flag but not RG2-listed; RG1 default, reviewer may reassess"
Pseudomonas siliginis,species,1,1,not listed as RG2+ in TRBA/PHAC -> RG1,environmental (grain/flour); not registry-listed; RG1
